area,areaName,movie_id,title,year,budget,budget_curr,total_amount,total_currency
XNDOM,International,tt0320661,Kingdom of Heaven,2005,130000000,USD,170724214,USD
XR2,Russia and Commonwealth of Independent States,tt0320661,Kingdom of Heaven,2005,130000000,USD,5328762,USD
XM7,Middle East including United Arab Emirates,tt0320661,Kingdom of Heaven,2005,130000000,USD,2209991,USD
XC3,Czech Republic and Slovakia,tt0320661,Kingdom of Heaven,2005,130000000,USD,659212,USD
XCN,Central America+,tt0320661,Kingdom of Heaven,2005,130000000,USD,620874,USD
XT2,Lesser Antilles,tt0320661,Kingdom of Heaven,2005,130000000,USD,80888,USD
XWW,World-wide,tt0367479,After the Sunset,2004,60000000,USD,62657868,USD
XNDOM,International,tt0367479,After the Sunset,2004,60000000,USD,34326635,USD
XR2,Russia and Commonwealth of Independent States,tt0367479,After the Sunset,2004,60000000,USD,967155,USD
XCN,Central America+,tt0367479,After the Sunset,2004,60000000,USD,165791,USD
XB2,Baltic States,tt0367479,After the Sunset,2004,60000000,USD,159859,USD
XW2,West Indies,tt0367479,After the Sunset,2004,60000000,USD,80728,USD
XWW,World-wide,tt0317740,The Italian Job,2003,60000000,USD,176070171,USD
XNDOM,International,tt0317740,The Italian Job,2003,60000000,USD,69941570,USD
XR2,Russia and Commonwealth of Independent States,tt0317740,The Italian Job,2003,60000000,USD,1148480,USD
XM7,Middle East including United Arab Emirates,tt0317740,The Italian Job,2003,60000000,USD,445745,USD
XCN,Central America+,tt0317740,The Italian Job,2003,60000000,USD,280908,USD
XC3,Czech Republic and Slovakia,tt0317740,The Italian Job,2003,60000000,USD,99686,USD
XWW,World-wide,tt0307901,25th Hour,2002,5000000,USD,23932055,USD
XNDOM,International,tt0307901,25th Hour,2002,5000000,USD,10847460,USD
XWW,World-wide,tt0289765,Red Dragon,2002,78000000,USD,209196298,USD
XNDOM,International,tt0289765,Red Dragon,2002,78000000,USD,116046400,USD
XRK,"Russia, Commonwealth of Independent States, and Ukraine",tt0289765,Red Dragon,2002,78000000,USD,1326957,USD
XR2,Russia and Commonwealth of Independent States,tt0289765,Red Dragon,2002,78000000,USD,1316352,USD
XCN,Central America+,tt0289765,Red Dragon,2002,78000000,USD,675000,USD
