actor_id,actor_name,category,title_id,title,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm1165110,Chris Hemsworth,actor,tt8936646,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt6521876,Jay and Silent Bob Reboot,2019,movie,10000000,USD,4691248,101758,4589490,USD
nm1165110,Chris Hemsworth,actor,tt2283336,Men in Black: International,2019,movie,110000000,USD,253890701,173888894,80001807,USD
nm1165110,Chris Hemsworth,actor,tt4154796,Avengers: Endgame,2019,movie,356000000,USD,2797501328,1939128328,858373000,USD
nm1165110,Chris Hemsworth,actor,tt6628394,Bad Times at the El Royale,2018,movie,32000000,USD,31882724,14043609,17839115,USD
nm1165110,Chris Hemsworth,actor,tt4154756,Avengers: Infinity War,2018,movie,321000000,USD,2048359754,1369544272,678815482,USD
nm1165110,Chris Hemsworth,actor,tt1413492,12 Strong,2018,movie,35000000,USD,67450815,21631102,45819713,USD
nm1165110,Chris Hemsworth,actor,tt3501632,Thor: Ragnarok,2017,movie,180000000,USD,853983911,538925622,315058289,USD
nm1165110,Chris Hemsworth,actor,tt1211837,Doctor Strange,2016,movie,165000000,USD,677796076,445154156,232641920,USD
nm1165110,Chris Hemsworth,actor,tt1289401,Ghostbusters,2016,movie,144000000,USD,229147509,100796935,128350574,USD
nm1165110,Chris Hemsworth,actor,tt2381991,The Huntsman: Winter's War,2016,movie,115000000,USD,164989338,116599148,48390190,USD
nm1165110,Chris Hemsworth,actor,tt1390411,In the Heart of the Sea,2015,movie,100000000,USD,93920758,68900000,25020758,USD
nm1165110,Chris Hemsworth,actor,tt1524930,Vacation,2015,movie,31000000,USD,107228221,48344033,58884188,USD
nm1165110,Chris Hemsworth,actor,tt2395427,Avengers: Age of Ultron,2015,movie,250000000,USD,1402809540,943803672,459005868,USD
nm1165110,Chris Hemsworth,actor,tt2717822,Blackhat,2015,movie,70000000,USD,19652057,11646077,8005980,USD
nm1165110,Chris Hemsworth,actor,tt1981115,Thor: The Dark World,2013,movie,170000000,USD,644783140,438421000,206362140,USD
nm1165110,Chris Hemsworth,actor,tt1979320,Rush,2013,movie,38000000,USD,96983009,70035385,26947624,USD
nm1165110,Chris Hemsworth,actor,tt1234719,Red Dawn,2012,movie,65000000,USD,50950296,6143513,44806783,USD
nm1165110,Chris Hemsworth,actor,tt1735898,Snow White and the Huntsman,2012,movie,170000000,USD,396592829,241260448,155332381,USD
nm1165110,Chris Hemsworth,actor,tt0848228,The Avengers,2012,movie,220000000,USD,1518815515,895457605,623357910,USD
