actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World-wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0000375,Robert Downey Jr.,actor,tt0095978,Rented Lips,NA,1988-07-01,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0093737,The Pick-up Artist,1987,1987-09-18,movie,USD,15000000,15000000,USD,13290368,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090629,America,NA,NA,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090685,Back to School,1986,1986-06-13,movie,USD,11000000,11000000,USD,91258000,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0072562,Saturday Night Live,NA,1975-10-11,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090305,Weird Science,1985,1985-08-02,movie,USD,7500000,7500000,USD,38934048,15100000,23834048,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0089208,Girls Just Want to Have Fun,1985,1985-04-12,movie,NA,NA,NA,USD,6326051,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0090213,Tuff Turf,1985,1985-01-11,movie,NA,NA,NA,USD,9369329,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0087263,Firstborn,1984,1984-10-26,movie,USD,8000000,8000000,USD,6250994,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0085208,Baby It's You,1983,1983-03-04,movie,USD,3000000,3000000,USD,1867792,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0081695,Up the Academy,NA,1980-06-06,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0068659,Greaser's Palace,NA,1972-07-31,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0066234,Pound,NA,NA,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt8847712,The French Dispatch,2021,2021-10-22,movie,USD,25000000,25000000,USD,46333545,30209170,16124375,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0385887,Motherless Brooklyn,2019,2019-11-01,movie,USD,26000000,26000000,USD,18477736,9200000,9277736,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0437086,Alita: Battle Angel,2019,2019-02-14,movie,USD,170000000,170000000,USD,404980543,319142333,85838210,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt5846856,Ask the StoryBots,NA,2016-08-12,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,Daytime Emmy,"Outstanding Performer in a Children's, Family Viewing or Special Class Program",Daytime Emmy Awards,Nominated,2019
nm0001570,Edward Norton,actor,tt5104604,Isle of Dogs,2018,2018-04-13,movie,NA,NA,NA,USD,64337744,32322513,32015231,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt4682786,Collateral Beauty,2016,2016-12-16,movie,USD,36000000,36000000,USD,88528280,57512259,31016021,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1700841,Sausage Party,2016,2016-08-12,movie,USD,19000000,19000000,USD,140705322,43019636,97685686,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt4788934,The Guardian Brothers,2015,2017-05-20,movie,NA,NA,NA,USD,11902156,11902156,0,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt3530232,Last Week Tonight with John Oliver,NA,2014-04-27,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt5786876,Nature Is Speaking,NA,2014-10-05,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,2014-11-14,movie,USD,18000000,18000000,USD,103215094,60874496,42340598,0,Oscar,Best Performance by an Actor in a Supporting Role,"Academy Awards, USA",Nominated,2015
nm0001570,Edward Norton,actor,tt2278388,The Grand Budapest Hotel,2014,2014-03-28,movie,USD,25000000,25000000,USD,173082189,113780865,59301324,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0072562,Saturday Night Live,NA,1975-10-11,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0096697,The Simpsons,NA,1989-12-17,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0096697,The Simpsons,NA,1989-12-17,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1194173,The Bourne Legacy,2012,2012-08-10,movie,USD,125000000,125000000,USD,276144750,162940880,113203870,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1194173,The Bourne Legacy,2012,2012-08-10,movie,USD,125000000,125000000,USD,276144750,162940880,113203870,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1748122,Moonrise Kingdom,2012,2012-06-29,movie,USD,16000000,16000000,USD,68264022,22751556,45512466,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1645170,The Dictator,2012,2012-05-16,movie,USD,65000000,65000000,USD,179379533,119729311,59650222,0,NA,NA,NA,NA,NA
